T,,#6464ff
P,False,36677,36705,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,93228,93326,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,93327,93406,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,93407,93500,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,93501,93554,adjusting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,93555,93645,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,93646,93723,stepping ,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,93724,109332,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,109333,109489,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,109490,109530,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,109531,109644,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,109645,109690,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,109691,109739,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,109740,109990,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,109991,110088,"stepping over a step
",#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,110089,122971,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,122972,123054,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,123055,123493,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,123494,123583,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,123584,123695,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,123696,124314,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,124315,124390,stepping aside,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,124391,124506,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,124507,124541,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,124543,124603,stepping aside,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,124605,124640,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,124642,124758,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,124759,124795,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,124797,124885,walking backwards,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,124886,126269,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,126270,126829,squat down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,126830,126978,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,126979,128093,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,128094,128156,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,128157,129043,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,129044,129335,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,129336,129609,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,129610,129757,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,129759,130884,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,130884,131045,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,131046,131152,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,131153,131244,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,131245,131343,stepping aside,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,131344,131682,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,131681,131804,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,131805,135552,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,135553,135746,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,135747,136866,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,136866,136954,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,136954,137084,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,137085,137157,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,137159,137263,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,137265,137383,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,143805,145052,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
T,,#6464ff
P,False,36677,36783,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,36784,36811,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,36812,36855,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,36856,36891,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,36892,36929,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,36930,36993,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,36994,37011,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37012,37050,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37051,37081,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37082,37188,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37188,37202,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37203,37241,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37242,37273,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37274,37321,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37322,37407,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37408,37427,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37428,37476,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37477,37497,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37498,37574,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37576,37600,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37601,37711,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37712,37737,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37738,37804,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37805,37823,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37824,37882,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37882,37927,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37928,37957,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37958,37976,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,37977,38027,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,38028,38042,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,38042,38059,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,38060,38118,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,38119,38165,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,38167,38500,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,38500,38563,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,38564,38586,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
P,False,38587,38658,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790CB6C8>
