T,,#6464ff
P,False,36683,36688,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027F48>
P,False,73366,73424,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,73424,73605,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,73605,73670,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,73671,75931,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,75931,76048,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,76049,76300,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,76300,76450,walking backwards,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,76451,76972,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,76973,77031,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,77034,93094,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,93095,93194,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,93195,93239,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,93240,93262,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,93262,93316,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,93317,93415,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,93415,93541,walking backwards,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,93542,93654,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,93655,93722,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,93722,109338,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,109339,109457,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,109456,109546,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,109547,109597,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,109597,109736,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,109737,109967,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,109968,110068,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,110069,122974,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,122975,123052,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,123052,123524,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,123525,123689,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,123690,124318,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,124319,124384,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,124385,124409,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,124410,124455,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,124455,124546,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,124546,124596,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,124596,124654,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,124655,124785,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,124786,124876,walking backwards,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,124877,128062,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,128062,129116,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,129117,129342,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,129343,129628,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,129628,129761,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,129762,130896,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,130897,131061,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,131061,131123,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,131123,131149,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,131149,131250,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,131250,131712,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,131713,131806,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,131807,135592,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,135593,135726,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,135726,135942,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,135943,135997,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,135998,136895,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,136896,136968,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,136969,137086,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,137087,137168,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,137169,137297,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,137297,137359,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,137359,137468,walking backwards,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,137467,137563,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,137564,138425,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,138426,138490,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,138491,138602,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,138602,138670,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,138671,138806,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,138807,138853,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,138854,138977,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,138977,139090,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,139091,139146,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,139146,139213,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,139214,139266,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,139267,142188,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,142188,142284,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,142285,142426,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,142427,142496,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,142497,142683,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,142684,142744,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,142745,142788,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,142789,142847,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,142848,142900,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,142901,142973,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,142974,143033,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,143034,143190,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,143190,146067,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,145002,145012,,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,146068,146130,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,146130,146286,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,146287,146368,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,146369,146598,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,146598,146648,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,146648,146667,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,146668,146792,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,146792,149443,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,149444,149552,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,149552,150733,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,150734,150840,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,150841,150888,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,150889,151000,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,151000,151624,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,151625,151680,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,151680,151696,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,151697,151734,walking backwards,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,151735,152043,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,152044,152305,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,152306,152385,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,152386,152609,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,152610,152673,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,152673,154557,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,154558,154838,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,154839,154911,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,154912,155163,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,155164,155375,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,155376,155456,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,155457,157200,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,157201,157488,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,157489,157581,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,157582,157819,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,157820,157876,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,157877,157931,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,157932,158003,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,158003,158096,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,158097,158163,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,158163,158987,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,158988,159204,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,159205,159984,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,159985,160282,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,160283,160372,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,160373,160671,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,160672,160737,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,160738,161067,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,161068,161254,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,161255,161290,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,161291,161554,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,161555,161618,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,161619,162024,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,162024,162083,walking backwards,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,162083,162429,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,162429,162500,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,162500,162614,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,162614,162700,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,162701,162752,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,162753,162832,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,162833,164287,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
