T,,#6464ff
P,False,26101,26109,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C7708>
P,False,37567,37670,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,37671,38440,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,38441,38556,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,38557,39255,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,39256,39371,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,39372,40126,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,40127,40256,tuning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,40256,40999,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,41000,41125,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,41126,41895,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,41895,41993,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,41993,42745,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,42746,42881,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,42882,43627,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,43627,43757,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,43757,43997,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,43997,44251,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,44252,44366,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,44367,45467,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,45467,51263,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,51264,51322,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,51323,51521,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,51522,51585,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,51586,51753,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,51753,52102,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,52103,52205,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,52207,52265,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,52268,53068,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,53069,53166,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,53167,53215,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,53216,53258,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,53259,53327,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,53327,54037,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,54037,54088,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,54089,54151,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,54152,54219,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,54220,54283,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,54284,54332,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,54332,54413,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,54414,54460,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,54460,54510,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,54510,54574,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,54575,54666,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,54667,54749,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,54750,54826,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,54827,55044,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,55044,55238,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,55238,68187,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,68188,68286,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,68287,68538,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,68539,68660,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,68661,68794,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,68794,68879,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,68880,68937,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,68937,69078,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,69078,69237,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,69237,93727,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,93728,93834,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,93834,94024,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,94025,94115,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,94116,104300,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,104301,104363,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,104363,107246,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,107246,107498,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,107499,111102,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,111103,112674,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,112675,113067,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,113067,113145,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,113145,113279,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,113280,114538,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,114539,114574,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,114575,114623,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,114624,114770,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,114771,114870,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,114871,115016,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,115017,115085,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,115087,115143,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,115145,115678,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,115679,115715,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,115717,115893,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,115894,115975,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,115976,116155,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,116157,116227,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,116228,116309,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,116310,118005,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,118006,118051,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,118053,118250,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,118250,118368,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,118369,118547,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,118548,118642,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,118644,118753,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,118755,119986,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,119987,120058,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,120059,120137,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,120137,120248,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,120249,120288,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,120290,120309,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,120310,120336,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,120338,120394,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,120395,120440,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,120442,120504,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,120505,120924,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,120925,120995,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,120996,121143,walking backwards,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,121144,121909,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,121911,122313,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,122314,122420,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,122421,122733,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,122733,122877,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,122877,123503,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,123504,123861,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,123862,123988,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,123989,124354,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,124355,124476,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,124477,124585,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,124587,125652,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,125653,125826,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,125827,126378,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,126379,126776,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,126777,126889,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,126890,127238,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,127239,127365,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,127366,127554,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,127555,128380,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,128382,128492,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,128493,128810,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,128811,129186,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,129187,129282,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,129283,129554,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,129555,129660,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,129661,129741,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,129742,130116,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,130116,130565,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,130208,130218,,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,130566,130638,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,130639,131061,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,131062,131227,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,131229,131355,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,131356,131960,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,131961,131997,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,131998,132141,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,132142,132557,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,132558,132657,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,132658,133117,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,133119,133174,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,133175,133199,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,133201,133245,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,133246,133283,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,133285,133389,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,133390,133552,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,133554,133585,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,133587,133672,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,133673,133792,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,133793,134603,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,134604,134664,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,134664,134714,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,134716,134750,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,134751,134815,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,134816,134843,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,134844,134915,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,134917,135212,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,135214,135351,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,135351,136371,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,136372,136474,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,136474,136484,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,136485,136560,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,136562,136648,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,136650,136726,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,136728,136806,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,136807,136873,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,136874,136951,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,136952,137013,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,137014,137092,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,137094,137154,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,137155,137227,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,137229,137291,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,137292,137363,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,137364,137435,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,137436,137498,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,137499,137564,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,137566,137582,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,137583,137632,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,137634,137723,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,137724,137781,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,137782,138006,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,138007,138159,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,138160,138624,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,138625,138856,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,138857,139098,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,139099,140360,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
T,,#6464ff
P,False,36746,37275,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0F349B08>
P,False,37276,37317,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0F349B08>
P,False,37318,37331,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0F349B08>
P,False,37333,37565,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0F349B08>
