T,,#6464ff
P,False,41368,41378,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9888>
P,False,74715,74828,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,74830,74934,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,74936,75033,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,75035,75123,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,75125,75205,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,75207,75287,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,75288,75434,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,75435,75538,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,75540,75850,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,75851,75930,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,75931,76272,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,76274,76386,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,76387,77634,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,77636,77705,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,77707,77766,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,77767,77848,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,77850,90866,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,90868,90998,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,90997,126064,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,126068,126190,stambling,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,126191,126309,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,126310,126452,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,126453,138907,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,138908,139006,stepping off of step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,139007,139637,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,139638,140683,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,140684,140755,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,140755,140841,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,140843,143618,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,143620,143800,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,143803,144482,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,144483,144886,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,144888,145050,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,145053,145469,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,145470,146253,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,146255,147306,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,147308,147404,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,147406,147596,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,147597,148187,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,148189,148544,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,148545,148651,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,148653,149625,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,149627,149848,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,149850,150815,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,150816,150907,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,150909,151046,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,151047,151279,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,151281,151371,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,151373,151551,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,151552,151607,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,151606,151710,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,151711,152906,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,152907,152988,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,152990,153171,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,153171,153270,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,153271,153289,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,153292,153473,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,153475,153579,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,153582,153706,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,153707,153921,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,153922,153979,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,153980,154058,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,154060,154241,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,154244,154373,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,154374,155243,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,155241,155293,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,155292,156415,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,156417,156498,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,156502,156572,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,156574,158416,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,158419,158488,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,158491,158743,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,158746,158834,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,158837,158928,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,158930,159127,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,159128,159258,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,159261,159322,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,159324,160381,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,160381,160457,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,160458,162528,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,162529,163463,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,163466,165967,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,165970,166608,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,166608,166727,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,166730,167574,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,167576,167682,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,167684,170460,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,170462,170945,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,170948,171060,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,171063,171217,stumbling,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,171219,171344,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,171348,172160,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,172162,172282,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,172281,174668,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,174669,174854,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,174856,175064,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,175065,175513,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,175515,175631,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,175635,176281,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,176284,176366,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,176367,176699,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,176700,176874,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,176875,177384,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,177386,178744,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,178743,178926,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,178929,179049,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,179050,179140,standing off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,179142,180640,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,180641,183052,step ups,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
P,False,183054,183399,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002279A6F9CC8>
T,,#6464ff
P,False,41366,41549,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,41551,43695,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,43698,44203,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,44205,45283,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,45284,45956,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,45959,46451,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,46452,47187,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,47189,47298,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,47300,47597,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,47598,47697,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,47700,48425,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,48427,48630,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,48630,48930,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,48932,49133,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,49134,49395,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,49396,49563,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,49565,49730,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,49732,50430,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,50431,50630,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,50633,51350,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,51352,51539,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,51542,52425,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,52426,52555,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,52558,53388,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,53390,53607,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,53609,54956,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,54959,55391,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,55392,55502,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,55504,57151,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,57153,57247,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,57250,57334,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,57336,58056,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,58058,58512,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,58514,59837,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,59838,60058,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
P,False,60061,60635,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000227A0CF28C8>
