T,,#6464ff
P,False,41131,41133,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,95408,95459,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,95756,95825,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,100275,100288,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,100451,100507,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,102420,102467,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,102894,102932,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,103429,103472,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,110750,110799,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,110859,110907,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,111138,111203,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,114766,114816,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,114925,115220,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,125160,125215,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,126014,126187,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,131191,131227,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,131484,131547,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,133208,133251,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,133358,133382,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,133488,133539,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,139142,139600,mostly hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,139599,140680,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,140895,140942,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,141151,141328,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,141535,141595,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,142431,142501,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,143301,143382,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,143407,143428,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,143805,145054,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,146254,147305,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,147598,148188,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,150142,150406,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,154356,154420,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,154614,154652,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,154942,155025,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,155100,155160,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,155181,155774,mostly hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,155775,155931,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,156123,156183,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,156291,156362,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,156411,156500,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,159851,159906,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,160913,160967,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,161050,161097,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,176531,176651,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,176837,177384,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,183439,183698,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,183940,183942,end,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
T,,#6464ff
P,False,41132,41550,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,41551,43686,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,43687,43759,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,43759,43782,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,43782,43813,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,43814,44181,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,44182,44980,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,44981,45028,turning/stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,45028,45063,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,45064,45154,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,45155,45328,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,45329,47723,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,47723,47842,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,47843,47971,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,47972,48050,stepping ,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,48051,48168,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,48169,48262,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,48263,48414,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,48415,48802,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,48802,48845,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,48845,49501,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,49502,49563,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,49564,49609,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,49610,50453,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,50453,50500,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,50501,50581,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,50582,51410,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,51411,51531,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,51532,51576,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,51577,52380,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,52381,52536,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,52537,53392,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,53393,53487,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,53488,53510,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,53511,54357,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,54358,54448,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,54449,55349,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,55350,55471,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,55472,56333,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,56334,56435,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,56436,56911,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,56912,56940,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,56941,57071,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,57072,57293,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,57294,58311,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,58311,58512,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,58513,59803,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,59805,59992,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,59993,60289,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,60290,60346,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,60347,60517,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,60518,60563,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,60563,60632,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,60634,61144,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,61145,61394,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,61394,61465,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,61466,61486,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,61486,61562,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,61562,61642,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,61644,61744,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,61745,63174,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,63175,63234,going forward with chair,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,63235,63264,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,63265,63344,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,63344,63571,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,63572,63712,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,63712,68316,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,68317,68379,going forward with chair,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,68380,68430,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,68430,68446,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,68444,68504,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,68505,68643,standing/stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,68644,68722,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,68722,68935,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,68935,68971,going forward with chair,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,68972,69644,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,69644,69709,going forward with chair,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,69709,69906,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,69907,69985,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,69986,70027,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,70028,70102,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,70103,70218,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,70219,70279,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,70279,70312,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,70312,70406,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,70407,73047,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,73049,73116,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,73117,73173,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,73174,73264,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,73265,73608,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,73608,73662,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,73663,73706,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,73706,73773,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,73774,74561,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,74561,74640,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,74641,74716,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,74717,74751,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,74752,74826,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,74827,74844,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,74844,74917,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,74917,74954,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,74954,75025,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,75026,75037,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,75038,75114,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,75114,75136,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,75136,75199,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,75199,75214,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,75215,75277,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,75278,75361,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,75362,75432,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,75433,75494,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,75495,75850,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,75851,75930,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,75932,76026,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,76027,76198,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,76199,76260,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,76261,76366,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,76367,77634,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,77635,77705,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,77707,77766,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,77767,77848,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,77850,90892,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,90893,90964,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,90965,91114,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,91114,91184,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,91185,91271,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,91272,93525,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,93526,93618,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,93619,95800,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,95801,95875,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,95875,95943,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,95943,95982,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,95983,96307,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,96307,96474,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,96475,100073,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,100073,100274,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,100275,100288,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,100289,100425,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,100426,100491,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,100491,100508,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,100508,103429,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,103430,103472,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,103473,110639,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,110640,110751,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,110752,110800,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,110801,110860,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,110860,111022,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,111023,111077,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,111077,111131,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,111132,114779,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,114780,114817,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,114818,114926,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,114927,115136,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,115136,115543,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,115544,115640,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
P,False,115640,115716,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175D7C31908>
