T,,#6464ff
P,False,41368,41378,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7B2988>
P,False,75207,75287,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,75288,75434,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,75435,75538,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,75540,75850,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,75851,75930,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,75931,76272,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,76274,76386,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,76387,77634,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,77636,77705,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,77707,77766,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,77767,77848,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,77850,90866,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,90868,90998,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,90997,126064,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,126068,126190,stambling,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,126191,126309,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,126310,126452,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,126453,138907,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,138908,139006,stepping off of step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,139007,139637,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,139638,140683,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,140684,140755,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,140755,140841,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,140843,143618,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,143620,144886,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,144888,145050,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,145053,145469,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,145470,146253,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,146255,147306,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,147308,147404,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,147406,147596,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,147597,148187,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,148189,148544,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,148545,148651,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,148653,149625,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,149627,149848,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,149850,150815,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,150816,150907,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,150909,151046,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,151047,151279,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,151281,151371,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,151373,151551,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,151552,151607,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,151606,151710,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,151711,152906,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,152907,152988,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,152990,153170,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,153171,153270,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,153271,153300,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,153301,153473,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,153475,153579,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,153582,153706,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,153707,153921,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,153922,153979,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,153980,154042,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,154044,154241,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,154244,154373,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,154374,155243,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,155241,155293,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,155292,156415,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,156417,156498,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,156502,156572,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,156574,158416,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,158419,158488,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,158491,158743,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,158746,158834,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,158837,158928,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,158930,159127,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,159128,159258,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,159261,159322,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,159324,160381,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,160381,160457,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,160458,162528,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,162529,162861,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,162862,162965,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,162966,163333,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,163334,163465,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,163466,165967,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,165970,166484,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,166486,166607,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,166608,166779,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,166781,167574,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,167576,167682,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,167684,170460,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,170462,170988,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,170989,171060,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,171063,171217,stumbling,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,171219,171344,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,171355,172160,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,172162,172282,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,172281,174714,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,174715,174804,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,174856,175025,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,175026,175513,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,175515,175661,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,175662,176281,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,176284,176366,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,176367,176699,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,176700,176874,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,176875,177384,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,177386,178744,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,178743,178926,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,178929,179049,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,179050,179140,standing off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,179142,180640,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,180641,183052,step ups,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,183054,183399,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
T,,#6464ff
P,False,43688,43777,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,44205,44249,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,44250,44289,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,44290,44347,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,44348,44386,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,44388,44637,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,44638,44966,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,46827,47194,clapping hands,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,47812,47966,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,48163,48298,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,49610,49990,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,49991,50114,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,50115,50149,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,50150,50380,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,50381,50416,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,50417,50451,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,50601,50717,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,50719,51094,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,51095,51273,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,51274,51409,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,51583,52133,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,52134,52215,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,52216,52318,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,52319,52355,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,52545,52623,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,52705,52856,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,53019,53391,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,53517,53602,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,53603,53874,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,53875,54033,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,54034,54131,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
P,False,54132,54266,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B74EF78C8>
