T,,#6464ff
P,False,64043,64044,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,164275,164438,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,165104,165222,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,165421,165483,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,165713,165756,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,176797,176827,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,177142,177161,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,177197,177252,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,178675,178725,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,178844,178901,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,180521,180597,far from camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,194010,194188,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,194500,194501,end,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
T,,#6464ff
P,False,64042,64924,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,64925,65024,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,65024,65158,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,65158,65331,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,65332,65381,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,65381,65474,going up the stairs,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,65475,65701,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,65702,65760,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,65762,65833,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,65833,66300,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,66301,66659,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,66660,66738,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,66739,68366,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,68366,68515,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,68516,73191,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,True,70408,70409,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,73191,73226,steppimg,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,73228,77608,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,77609,78237,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,78238,78307,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,78308,78856,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,78857,78938,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,78939,79524,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,79525,79605,turning around ,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,79606,80151,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,80152,80234,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,80235,80829,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,80830,80934,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,80935,81551,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,81552,81635,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,81636,82235,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,82236,82314,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,82315,82921,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,82922,82997,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,82998,83572,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,83573,83653,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,83654,84203,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,84204,84289,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,84290,84845,walking ,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,84846,84884,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,84884,84942,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,84943,85261,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,85262,85338,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,85339,85619,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,85620,85684,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,85685,85947,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,85948,86477,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,86479,86528,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,86529,86736,going down the stairs,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,86737,86998,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,86999,87078,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,87079,87182,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,87183,94299,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,94300,94404,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,94405,94506,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,94507,94558,stepping aside,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,94559,94661,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,94662,95316,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,95317,95391,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,95392,95430,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,95431,95571,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,95572,96021,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,96022,96127,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,96128,96172,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,96173,96295,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,96296,96839,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,96840,96907,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,96908,96937,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,96938,97024,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,97025,97976,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,97977,98059,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,98059,98082,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,98084,98154,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,98155,98208,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,98209,98299,standing up ,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,98300,98311,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,98312,98428,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,98428,98473,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,98474,98534,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,98535,98570,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,98571,98652,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,98653,98694,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,98695,98773,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,98774,98802,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,98804,98920,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,98921,98972,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,98972,99054,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,99055,99073,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,99075,99185,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,99186,99231,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,99232,99336,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,99337,99403,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,99404,99568,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,99569,99693,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,99694,99764,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,99765,99827,stepping ,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,99828,99969,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,99970,100125,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,100126,112873,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,112873,113230,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,113231,113346,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,113347,113434,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,113436,113624,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,113624,113862,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,113863,113901,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,113901,114071,stepping ,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,114072,121518,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,121519,121587,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,121588,125991,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,125992,126025,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,126026,130378,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,130379,130591,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,130592,134521,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,134522,134587,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,134588,136635,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,136636,136679,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,136680,148170,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,148170,148260,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,148261,148320,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,148321,148529,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,148529,148598,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,148598,148652,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,148652,148681,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,148681,149316,standing/ adjusting ,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,149317,159023,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,159023,159154,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,159154,159251,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,159252,159519,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,159519,159664,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,159664,160961,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,160961,161061,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,161061,162673,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,162674,162826,squating,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,162826,162928,getting back up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,162928,163295,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,163295,163488,walking backwards,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,163488,163666,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,163666,163737,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,163738,163863,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,163863,164316,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,164317,164438,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,164439,167893,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,167894,167963,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,167963,168038,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,168039,168198,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,168199,168276,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,168277,168355,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,168355,168386,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,168387,168419,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,168419,168499,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,168499,168725,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,168726,168794,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,168795,168958,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,168959,169024,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,169025,169113,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,169114,169251,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,169251,169318,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,169319,169514,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,169513,169579,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,169580,169725,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,169726,169790,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,169791,169860,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,169861,170574,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,170575,170645,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,170645,170816,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,170816,170876,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,170876,171068,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,171067,171128,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,171129,171196,siting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,171196,171233,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,171234,171369,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,171369,171449,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,171449,172478,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,172479,172555,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,172556,172751,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,172751,172832,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,172832,173008,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,173008,173084,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,173085,173170,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,173171,175064,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,175064,175155,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,175156,175390,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,175391,175490,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,175492,175732,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,175731,175827,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,175827,175909,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,175910,177478,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,177479,177538,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,177538,177804,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,177804,178030,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,178030,180521,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,180521,180828,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
P,False,180829,180910,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B48080F898>
