T,,#6464ff
P,False,70115,70123,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEBC388>
P,False,84311,84845,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,84846,84984,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,84986,85635,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,85636,85672,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,85673,86922,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,86923,86998,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,86999,87090,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,87091,94302,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,94303,94409,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,94410,94557,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,94558,94696,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,94697,95315,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,95316,95395,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,95396,95443,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,95444,95579,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,95580,96023,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,96024,96128,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,96129,96189,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,96190,96285,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,96286,96827,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,96828,96917,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,96918,96955,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,96956,97045,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,97047,97972,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,97973,98083,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,98084,98208,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,98209,98307,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,98308,98448,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,98449,98560,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,98560,98677,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,98678,98798,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,98799,98960,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,98961,99077,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,99078,99214,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,99215,99359,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,99360,99421,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,99422,99612,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,99613,99666,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,99667,99778,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,99779,99835,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,99836,99978,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,99978,100142,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,100143,113214,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,113215,113333,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,113334,113411,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,113411,113496,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,113497,113602,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,113603,113865,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,113866,113951,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,113965,130383,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,130384,130478,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,130479,130549,walking backwards,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,130550,130585,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,130586,148180,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,148181,148257,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,148257,159024,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,159025,159171,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,159172,159250,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,159251,162693,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,162870,163296,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,163297,163469,walking backwards,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,163470,163496,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,163497,163608,walking backwards,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,163609,163676,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,163676,163755,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,163756,163872,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,163873,167904,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,167905,167960,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,167961,168038,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,168039,168207,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,168208,168315,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,168316,168438,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,168438,168484,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,168485,168745,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,168746,168809,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,168810,168944,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,168945,169016,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,169018,169113,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,169114,169251,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,169253,169319,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,169321,169517,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,169518,169599,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,169600,169745,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,169746,169805,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,169806,169866,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,169867,170559,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,170560,170644,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,170645,170816,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,170817,170896,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,170897,171068,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,171069,171132,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,171133,171196,siting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,171197,171232,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,171233,171386,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,171387,171451,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,171452,172459,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,172460,172555,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,172556,172745,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,172746,172829,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,172830,173018,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,173019,173084,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,173085,173168,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,173169,175034,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,175035,175164,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,175165,175389,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,175390,175492,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,175493,175514,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,175515,175740,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,175741,175829,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,175829,175909,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,175910,177483,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,177484,177542,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,177543,180531,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,180532,180837,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,180838,180921,turning aroung,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,180922,181249,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,181250,181461,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,181462,181586,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,181587,182767,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,182768,183063,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,183064,183175,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,183176,183548,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,183549,183572,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,183573,185179,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,185180,185537,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,185538,185604,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,185605,186095,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,186096,186275,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,186276,186396,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,186397,187340,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,187341,187696,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,187697,187779,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,187780,188308,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,188309,188492,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,188493,188643,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,188644,188752,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,188753,189154,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,189155,189465,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,189466,189545,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,189546,189612,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,189613,189701,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,189702,189777,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,189778,189877,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,189878,190845,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,190846,190950,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,190951,191005,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,191006,191104,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,191105,191181,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,191182,191284,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,191285,191325,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,191326,191439,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,191440,191462,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,191463,191597,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,191598,191637,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,191638,191758,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,191759,191875,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,191876,191962,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,191963,192066,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,192067,192176,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,192176,192242,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,192243,192388,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,192389,192523,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,192524,192572,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,192573,192689,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,192690,192711,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,192712,192812,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,192813,192900,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,192901,193012,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,193013,193064,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,193065,193141,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,193142,193222,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,193223,193361,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,193362,193721,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,193722,193886,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,193887,193927,stading,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,193928,194255,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,194256,194331,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,194332,194432,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,194433,194488,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
T,,#6464ff
P,False,70115,70661,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B70BF2488>
P,False,70663,72394,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B70BF2488>
P,False,72394,72447,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B70BF2488>
P,False,72448,73382,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B70BF2488>
P,False,73384,74283,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B70BF2488>
P,False,74284,74441,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B70BF2488>
P,False,74441,75510,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B70BF2488>
P,False,75512,75545,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B70BF2488>
