T,,#6464ff
P,False,28339,28349,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB31E3E08>
P,False,80903,89816,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,89817,89886,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,89887,90022,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,90023,90268,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,90269,90378,walking backwards,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,90379,90570,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,90571,90821,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,90822,90890,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,90891,91300,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,91301,91629,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,91630,94577,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,94578,94734,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,94735,94918,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,94919,95065,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,95066,95173,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,95174,95291,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,95292,95346,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,95347,95397,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,95398,95801,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,95801,95846,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,95847,96094,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,96095,109429,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,109429,109513,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,109513,109548,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,109549,109630,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,109630,111794,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,111796,112179,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,112181,113482,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,113483,114484,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,114485,114602,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,114603,115458,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,115459,115589,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,115590,116541,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,116542,116675,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,116676,117557,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,117558,117731,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,117732,118599,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,118600,118758,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,118759,119573,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,119574,119709,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,119710,120582,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,120583,120710,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,120711,121041,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,121042,121082,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,121083,121168,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,121169,121221,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,121222,121303,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,121304,121371,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,121372,121482,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,121483,122128,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,122130,122295,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,122296,122410,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,122411,122502,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,122503,122567,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,122568,123141,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,123142,123444,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,123445,123723,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,123724,123799,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,123800,124704,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,124705,124779,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,124781,125754,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,125755,125849,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,125850,127072,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,127073,127141,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,127142,127194,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,127195,127418,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,127419,127565,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,127566,127682,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,127683,128146,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,128147,128269,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,128270,128379,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,128380,128535,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,128536,128674,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,128674,128781,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,128782,128976,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,128977,129162,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,129162,129316,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,129317,129424,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,129425,131373,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,131374,131457,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,131458,131677,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,131678,131736,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,131737,131967,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,131968,132038,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,132039,132117,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,132118,133010,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,133011,133078,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,133079,133237,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,133238,133339,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,133340,133507,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,133508,133591,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,133592,133679,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,133680,136273,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,136274,136367,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,136368,136620,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,136621,136839,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,136840,137115,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,137116,137258,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,137259,137374,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,137375,137453,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,137454,137560,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,137561,137605,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,137606,138488,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,138489,138590,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,138591,138640,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,138642,138735,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,138736,138795,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,138796,138915,walking backwards,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,138915,138958,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,138959,139028,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,139029,139315,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,139317,139794,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,139795,140452,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,140453,140571,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,140572,140645,walking backwards,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,140646,141048,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,141049,141399,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,141400,141526,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,141527,141928,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,141929,142083,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,142084,142268,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,142268,143379,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,143381,143864,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,143865,143989,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,143990,144450,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,144452,144714,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,144716,144859,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,144860,146053,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,146053,146540,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,146541,146736,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,146737,147335,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,147336,147393,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,147394,147454,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,147455,148096,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,148097,148140,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,148141,148821,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,148822,149336,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,149337,149469,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,149470,150093,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,150094,150239,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,150240,150620,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,150621,150730,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,150731,151152,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,151153,151310,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,151311,151423,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,151424,151813,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,151815,151932,"stepping over a step
",#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,151933,152006,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
