T,,#6464ff
P,False,112181,112561,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDF631C8>
P,False,144812,145135,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,145137,145789,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,145788,146050,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,146051,146707,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,146709,146930,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,146931,147305,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,147306,148491,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,148492,148690,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,148692,148837,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,148838,149541,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,149543,149694,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,149695,150201,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
