T,,#6464ff
P,False,24200,24201,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,62565,62584,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,62584,62665,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,62666,63056,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,63056,63144,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,63143,63181,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,63182,63250,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,63251,64053,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,64053,64195,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,64195,64242,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,64242,64326,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,64327,64396,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,64397,64447,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,64448,64544,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,64545,64641,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,64641,64683,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,64683,64748,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,64748,64804,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,64804,64854,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,64854,64902,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,64903,65002,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,65003,65067,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,65068,65101,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,65102,65171,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,65171,65389,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,65389,65455,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,65456,65541,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,65542,65624,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,65625,65704,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,65705,65835,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,65835,65883,moving forward with chair,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,65882,79947,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,79948,80039,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,80040,80164,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,80165,80188,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,80189,80597,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,80599,80684,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,80685,80866,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,80867,81083,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,81084,81468,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,81468,81546,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,81546,81618,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,81618,82620,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,82621,82684,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,82686,90496,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,90497,90575,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,90575,103508,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,103508,103650,stumbling,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,103650,105701,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,105702,105787,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,105788,105925,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,105925,106001,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,106001,106109,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,106109,106173,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,106174,111606,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,111606,111693,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,111693,111867,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,111868,112066,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,112066,112376,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,112377,112521,"stepping over a step
",#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,112522,117682,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,117682,117894,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,117894,117985,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,117986,118729,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,118729,118838,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,118839,124903,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,124904,124978,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,124979,125032,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,125033,125095,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,125096,125155,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,125156,125272,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,125273,125312,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,125313,125392,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,125391,125443,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,125444,125547,,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,125597,125827,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,134844,135621,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,135623,135679,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,135681,135860,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,135861,135912,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,135913,136040,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,136041,136165,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,136167,136246,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,136252,136450,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,136453,136576,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,136582,136700,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,136701,137654,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,137655,137724,staidning up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,137726,137872,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,137873,137972,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,137973,138087,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,138088,138180,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,140547,140682,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,140683,140782,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,140783,140929,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,145428,145750,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,145751,145876,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,145877,146186,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,147793,148127,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,148128,148258,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,148259,148547,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,149994,150488,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,150489,150614,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,150615,151066,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,155461,155807,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,155808,155941,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,155942,156372,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
T,,#6464ff
P,False,30145,30285,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,31026,31313,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,33949,33989,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,33990,34114,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34115,34153,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34153,34186,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34188,34208,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34208,34257,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34258,34284,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34285,34333,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34334,34372,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34373,34414,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34415,34451,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34452,34480,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34481,34511,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34512,34538,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34538,34551,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34552,34584,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34585,34614,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34615,34637,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34638,34682,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34683,34732,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34733,34746,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34747,34797,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34798,34907,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34908,34947,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,34948,35027,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,35028,35053,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,35054,35087,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,35087,35127,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,35127,35136,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,35136,35299,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,35301,35562,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,35563,35600,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,35601,35618,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,35619,35645,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,35644,35675,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,35676,35722,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,35722,35864,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,35865,35898,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,35939,35972,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,36024,36052,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,36071,36083,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,36084,36300,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,36300,36313,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,36314,36339,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,36407,36433,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,36434,36518,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,36556,36622,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,36623,36640,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,36640,36667,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
P,False,36682,36700,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B748>
